"","customerID","tenure","MonthlyCharges","TotalCharges","Churn","Gender_Female","SeniorCitizen_0","Partner_Yes","Dependents_No","PhoneService_No","MultipleLines_No","InternetService_DSL","InternetService_Fiberoptic","OnlineSecurity_No","Online_Backup_Yes","DeviceProtection_No","TechSupport_No","tv_No","Movies_No","Contract_Monthtomonth","Contract_Oneyear","PaperLessBilling_Yes","PaymentMethod_Electroniccheck","PaymentMethod_Mailedcheck","PaymentMethod_Banktransfer_automatic"
"1973","7892-QVYKW",23,85.6,1868.4,"No",1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0
"1976","4703-MQYKT",21,19.6,390.4,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1988","5419-KLXBN",25,89.15,2257.75,"Yes",1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1
"1989","3424-NMNBO",58,108.85,6287.25,"Yes",0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0
"1994","9828-AOQLM",1,45.7,45.7,"Yes",1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0
"2007","0224-HJAPT",5,47.15,223.15,"Yes",0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0
"2009","9430-FRQOC",4,87.1,341.45,"Yes",1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0
"2011","3074-GQWYX",5,75.9,357.75,"Yes",0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1
"2012","1492-QGCLU",53,85.7,4616.1,"No",0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"2013","6845-RGTYS",47,98.75,4533.7,"Yes",1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0
"2021","2546-KZAAT",52,75.4,3865.45,"No",0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0
"2024","4795-KTRTH",5,81,371.65,"Yes",1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0
"2036","8100-HZZLJ",43,63.95,2737.05,"No",1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0
"2037","8775-ERLNB",1,74.3,74.3,"No",0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0
"2042","3546-GHEAE",7,19.45,165.35,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2055","9734-UYXQI",2,49.4,106.55,"Yes",1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0
"2057","4138-NAXED",51,81,4085.75,"No",0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1
"2059","0744-BIKKF",72,86.65,6224.8,"No",0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"2060","7483-IQWIB",37,92.95,3415.25,"No",0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0
"2061","5248-KWLAR",71,90.35,6325.25,"No",0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"2069","9079-LWTFD",47,100.75,4669.2,"No",0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0
"2072","3392-EHMNK",67,94.1,6302.8,"No",1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
"2084","4897-QSUYC",1,20.15,20.15,"Yes",1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"2085","1084-UQCHV",1,69.75,69.75,"Yes",0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1
"2090","3933-DQPWX",50,39.7,1932.75,"No",1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0
"2103","2911-WDXMV",18,80.55,1406.65,"No",0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0
"2105","3106-ULWFW",8,85.2,627.4,"Yes",1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0
"2107","4547-FZJWE",55,59.45,3157,"No",0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0
"2108","7422-WNBTY",33,93.35,3092,"No",0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0
"2109","0842-IWYCP",46,44.95,2168.9,"No",1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1
"2117","4349-GFQHK",1,54.35,54.35,"Yes",0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0
"2120","9805-FILKB",46,20.2,845.6,"No",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"2132","5656-MJEFC",42,48.15,2032.3,"No",0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"2133","6082-OQFBA",23,19.65,436.9,"No",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"2138","8612-GXIDD",12,25.4,313,"No",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"2151","5628-FCGYG",21,84.1,1737.45,"No",0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0
"2153","0248-IPDFW",1,50.1,50.1,"No",1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0
"2155","4335-UPJSI",24,19.75,498.1,"No",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2156","0524-IAVZO",30,85,2624.25,"Yes",1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0
"2157","2737-YNGYW",2,80.55,184.1,"Yes",1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0
"2165","5453-YBTWV",70,101.1,6994.8,"No",0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
"2168","9061-TIHDA",13,95.25,1233.65,"Yes",0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0
"2180","7311-MQJCH",5,19.55,99.6,"No",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"2181","7375-WMVMT",71,95.5,6707.15,"No",0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0
"2186","7619-ODSGN",24,54.75,1338.15,"Yes",0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
"2199","9798-DRYDS",17,61.95,1070.7,"No",1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0
"2201","6296-DDOOR",19,58.2,1045.25,"No",1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0
"2203","5931-FLJJF",7,70.1,467.55,"Yes",0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0
"2204","4815-YOSUK",72,104.9,7537.5,"No",0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
"2205","2659-VXMWZ",67,111.3,7482.1,"Yes",0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0
"2213","8076-FEZKJ",10,19.5,225.85,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"2216","4312-GVYNH",70,49.85,3370.2,"No",1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
"2228","0788-DXBFY",58,19.55,1108.8,"No",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"2229","3597-YASZG",70,104.45,7349.35,"No",1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1
"2234","8097-VBQTZ",54,69.9,3883.3,"No",0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0
"2247","7181-BQYBV",1,102.45,102.45,"Yes",1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0
"2249","9554-DFKIC",30,54.45,1588.7,"No",0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1
"2251","0829-DDVLK",15,20.1,302.45,"No",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2252","1399-UBQIU",11,69.35,712.25,"No",0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0
"2253","1813-JLKWR",64,19.8,1336.65,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"2261","6204-IEUXJ",3,80.1,217.55,"Yes",1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0
"2264","2506-CLAKW",6,98.15,567.45,"Yes",1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1
"2276","7180-PISOG",1,74.5,74.5,"Yes",0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0
"2277","9168-INPSZ",44,104.15,4495.65,"No",1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
"2282","9578-VRMNM",16,65.2,1043.35,"Yes",1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0
"2295","2027-FECZV",12,106.7,1253.9,"Yes",0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0
"2297","4706-DGAHW",1,45.2,45.2,"No",0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0
"2299","6670-MFRPK",69,79.2,5420.65,"No",0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0
"2300","6177-PEVRA",48,55.5,2627.35,"No",1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0
"2301","4800-CZMPC",48,103.25,5037.55,"Yes",1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0
"2309","3324-OIRTO",71,104.65,7288.4,"No",0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1
"2312","8552-OBVRU",48,104.5,5068.05,"No",1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
"2324","8949-JTMAY",29,98.6,2933.2,"Yes",1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0
"2325","2774-LVQUS",15,83.05,1258.3,"Yes",1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0
"2330","2972-YDYUW",57,94.7,5468.95,"No",1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0
"2343","1552-AAGRX",30,106.4,3211.9,"No",1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
"2345","9796-MVYXX",14,39.7,692.35,"No",1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
"2347","0020-INWCK",71,95.75,6849.4,"No",1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0
"2348","7089-RKVSZ",8,24.4,203.95,"No",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"2349","2683-JXWQQ",61,33.6,2117.2,"No",0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1
"2357","3450-WXOAT",46,45.2,2065.15,"No",0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0
"2360","2616-UUTFK",33,72.75,2447.45,"No",0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1
"2372","2712-SYWAY",1,25.7,25.7,"No",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"2373","0730-BGQGF",71,90.3,6287.3,"No",0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"2378","9308-ANMVE",47,55.3,2654.05,"No",0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0
"2391","1226-JZNKR",8,19.8,160.05,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"2393","3771-PZOBW",20,90.7,1781.35,"No",0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0
"2395","8231-BSWXX",71,79.05,5552.5,"No",0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0
"2396","6486-LHTMA",31,90.7,2835.5,"No",1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0
"2397","4083-BFNYK",38,95,3591.25,"No",1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0
"2405","5197-PYEPU",42,94.45,3923.8,"No",1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0
"2408","8835-VSDSE",2,70.7,141.45,"Yes",1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0
"2420","2450-ZKEED",11,53.8,651.55,"No",1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1
"2421","3694-DELSO",4,38.55,156.1,"No",0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0
"2426","0142-GVYSN",26,20.3,511.25,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"2439","7089-IVVAZ",8,103.35,847.3,"Yes",1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
"2441","2171-UDMFD",32,19.45,674.55,"No",0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"2443","2205-YMZZJ",7,84.8,546.95,"Yes",0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0
"2444","9802-CAQUT",72,109.55,7887.25,"No",1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"2445","1254-IZEYF",31,99.95,3186.65,"Yes",1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0
"2453","5908-QMGOE",15,74.2,1133.9,"Yes",0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0
"2456","8481-YYXWG",5,89.35,461.7,"Yes",1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0
"2468","6559-RAKOZ",49,97.95,4917.9,"No",0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0
"2469","2636-OHFMN",4,48.55,201,"Yes",0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0
"2474","6164-HXUGH",6,19.85,119.3,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"2487","1174-FGIFN",28,90.45,2509.25,"No",1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0
"2489","4701-MLJPN",31,55.25,1715.65,"Yes",0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0
"2491","7641-TQFHN",39,100.55,3895.35,"No",0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
"2492","1552-TKMXS",42,20.35,869.9,"No",1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2493","9206-GVPEQ",13,54.45,706.85,"Yes",0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0
"2501","0679-TDGAK",50,75.5,4025.6,"No",0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0
"2504","9067-SQTNS",44,20.6,926,"No",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"2516","8869-LIHMK",64,115.1,7334.05,"No",1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
"2517","8245-UMPYT",16,96.4,1581.2,"Yes",1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0
"2522","5373-SFODM",36,85.25,3132.75,"Yes",0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0
"2535","8565-HBFNN",69,107.2,7317.1,"No",0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
"2537","0203-HHYIJ",25,25.3,676.35,"Yes",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"2539","7758-UJWYS",34,40.55,1325.85,"No",0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0
"2540","2050-ONYDQ",65,26,1654.85,"No",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2541","7055-JCGNI",70,111.95,7795.95,"No",1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"2549","9796-BPKIW",8,69.95,562.7,"No",0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0
"2552","2882-DDZPG",12,19.45,227.45,"No",1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2564","5130-IEKQT",25,105.95,2655.25,"Yes",0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
"2565","3230-WYKIR",18,82,1425.45,"Yes",0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
"2570","8237-ULIXL",72,24.85,1871.85,"No",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2583","7145-FEJWU",12,105.3,1275.65,"No",1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0
"2585","3969-JQABI",58,65.25,3791.6,"No",1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0
"2587","1051-EQPZR",44,19.6,780.25,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"2588","5849-ASHZJ",27,20.05,552.9,"No",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2589","5780-INQIK",8,49.4,408.25,"No",1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0
"2597","5837-LXSDN",21,58.85,1215.45,"No",1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0
"2600","6384-VMJHP",72,73,5265.2,"No",1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
"2612","5976-JCJRH",10,70.3,738.2,"Yes",0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0
"2613","8198-RKSZG",14,80.45,1137.05,"No",1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
"2618","4588-YBNIB",1,19.6,19.6,"Yes",1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"2631","0014-BMAQU",63,84.65,5377.8,"No",0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0
"2633","9018-PCIOK",55,64.75,3617.1,"No",1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0
"2635","6877-TJMBR",1,84.8,84.8,"Yes",0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0
"2636","9953-ZMKSM",63,25.25,1559.3,"No",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2637","0907-HQNTS",70,113,7987.6,"No",1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"2645","2011-TRQYE",18,33.5,600,"Yes",0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0
"2648","4986-MXSFP",2,20,40.9,"No",1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"2660","3166-PNEOF",61,86.45,5175.3,"No",1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2661","5639-NTUPK",13,52.1,670.65,"No",0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0
"2666","8166-ORCHU",33,93.55,3055.5,"No",0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0
"2679","7026-YMSBE",30,19.7,625.05,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"2681","6997-UVGOX",71,85.45,6029.9,"No",0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"2683","9462-MJUAW",4,50.4,206.6,"Yes",0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0
"2684","8128-YVJRG",7,79.65,604.7,"Yes",1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0
"2685","5440-VHLUL",69,105.2,7386.05,"No",0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1
"2693","5445-GLVOT",22,49.8,1049.05,"No",1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0
"2696","0254-KCJGT",52,81.4,4354.45,"No",0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
"2708","7938-OUHIO",3,98.7,293.65,"Yes",0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0
"2709","8510-AWCXC",13,100.8,1308.1,"Yes",1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0
"2714","5996-DAOQL",1,20.45,20.45,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"2727","9392-XBGTD",27,20.6,581.85,"No",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2729","6402-SSEJG",25,61.05,1540.2,"No",1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
"2731","1169-SAOCL",49,106.65,5168.1,"No",0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1
"2732","1110-KYLGQ",63,108.25,6780.1,"No",1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
"2733","9929-PLVPA",4,20.4,94.5,"No",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2741","0415-MOSGF",1,44.4,44.4,"Yes",1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0
"2744","2323-ARSVR",67,111.05,7321.05,"No",0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
"2756","5468-BPMMO",46,19.6,851.2,"No",0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"2757","5624-BQSSA",1,20.95,20.95,"Yes",1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"2762","2408-WITXK",10,34.7,329.8,"Yes",1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0
"2775","9375-MHRRS",6,50.05,288.35,"No",0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0
"2777","7503-QQRVF",16,74.3,1178.25,"Yes",0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0
"2779","6599-GZWCM",13,74.65,966.25,"No",1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0
"2780","2691-NZETQ",9,85.35,758.6,"Yes",0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0
"2781","4404-HIBDJ",25,74.3,1863.8,"Yes",1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0
"2789","2790-XUYMV",71,85.45,6028.95,"No",0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0
"2792","1023-BQXZE",57,74.35,4317.35,"No",0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1
"2804","1985-MBRYP",43,19.65,779.25,"No",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"2805","6158-DWPZT",9,24.1,259.8,"Yes",0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1
"2810","4360-QRAVE",37,36.65,1315,"No",0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0
"2823","9170-GYZJC",41,79.9,3326.2,"Yes",1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
"2825","8857-CUPFQ",63,19.25,1237.65,"No",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2827","3638-DIMPH",13,43.8,592.65,"No",1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0
"2828","1845-ZLLIG",1,50.15,50.15,"No",0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0
"2829","8559-WNQZS",1,20.45,20.45,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2837","6988-CJEYV",49,98.7,4920.55,"No",0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0
"2840","5465-BUBFA",41,19.3,772.4,"No",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2852","1897-OKVMW",64,90.6,5817.45,"No",1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
"2853","5485-ITNPC",66,85.9,5595.3,"No",0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
"2858","7771-CFQRQ",47,63.8,3007.25,"No",1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1
"2871","1400-WIVLL",57,107.95,5969.85,"No",0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"2873","8148-NLEGT",42,22.95,1014.25,"No",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2875","8347-GDTMP",64,19.45,1225.65,"No",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2876","9992-RRAMN",22,85.1,1873.7,"Yes",0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0
"2877","6746-WAUWT",19,19.7,386.5,"No",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"2885","5248-RPYWW",72,90.15,6716.45,"No",1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
"2888","5696-QURRL",1,45.05,45.05,"Yes",0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0
"2900","6164-HAQTX",71,53.95,3888.65,"No",0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
"2901","0679-IDSTG",1,69.25,69.25,"Yes",1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0
"2906","4692-NNQRU",21,79.2,1742.45,"No",1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0
"2919","2761-XECQW",8,43.35,371.4,"No",0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0
"2921","9453-PATOS",72,85.1,6155.4,"No",1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"2923","3348-CFRNX",28,92.35,2602.9,"Yes",1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0
"2924","4402-FTBXC",54,89.8,4667,"No",0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0
"2925","1428-GTBJJ",11,74.55,824.75,"Yes",0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0
"2933","7740-BTPUX",55,113.6,6292.7,"No",0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0
"2936","9435-JMLSX",71,86.1,6045.9,"No",0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
"2948","5131-PONJI",49,90.4,4494.65,"No",0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0
"2949","2845-AFFTX",41,99.8,4259.3,"Yes",0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0
"2954","2249-YPRNG",20,105.85,2239.65,"Yes",1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1
